N_A,N_B,r_Z_A,r_Z_B,r_A_gw,r_B_gw,r_A_s1,r_B_s1,r_A_s2,r_B_s2,r_A_s3,r_B_s3,R0,R0_low,R0_up,R0_A,R0_A_low,R0_A_up,R0_B,R0_B_low,R0_B_up,X0,X0_low,X0_up,X0_A,X0_A_low,X0_A_up,X0_B,X0_B_low,X0_B_up,Ugw,Ugw_low,Ugw_up,Us1,Us1_low,Us1_up,Us2,Us2_low,Us2_up,Us3,Us3_low,Us3_up,sim_time_sec
0,25,0.01,0.01,0.1,0.1,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,449.00813106652555,439.96626102673383,458.05000110631727,0.0,0.0,0.0,449.00813106652555,439.96626102673383,458.05000110631727,0.05574417119188916,0.05471875804901102,0.05680875016119981,0.0,0.0,0.0,0.05574417119188916,0.05471875804901102,0.05680875016119981,0.5605736540163975,0.5456858908472226,0.5754614171855723,0.9999433409505,0.9874443930230643,1.0124422888779356,0.6634462129991401,0.6461399026506717,0.6807525233476085,0.28048625559388346,0.27330304142637313,0.2876694697613938,6.8913187980651855
9,16,0.01,0.01,0.1,0.1,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,344.9593131135595,340.08565222156074,349.8329740055583,313.3878161726514,308.23135146381156,318.54428088149126,365.2507407465814,358.93698593069996,371.56449556246287,0.07270648693392374,0.07065200896384921,0.07488402705123225,0.028697500965831277,0.02831260518275803,0.02909300590855363,0.04361740592902275,0.04293961126421439,0.04431694152427891,0.731048035884343,0.7163122523748783,0.7457838193938077,0.9761903003563795,0.9525918414380522,0.9997887592747069,0.9613284458638299,0.9426305548155254,0.9800263369121345,0.7930512750979618,0.7749752223270567,0.8111273278688669,8.13802719116211
3,22,0.01,0.01,0.1,0.1,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,401.0590608589877,394.02058163326495,408.0975400847105,269.39765541840205,261.64822325386126,277.14708758294285,427.9800693232408,420.2579042298078,435.7022344166738,0.06231761599100848,0.06127430748526238,0.0633970684311606,0.01113610439297058,0.010835290852159995,0.011454097483114385,0.05125147872978818,0.050405390078077754,0.05212645665095761,0.6185363529895165,0.6011499355932057,0.6359227703858272,0.9992802679311817,0.9867824323056463,1.0117781035567173,0.7878384324963564,0.7703106479066603,0.8053662170860526,0.478230597130994,0.46554721929798315,0.4909139749640048,8.416810989379883
7,18,0.01,0.01,0.1,0.1,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,359.9821018068013,354.3956316416619,365.56857197194074,291.8709267648778,286.7248045992872,297.01704893046843,394.46588780568214,386.96993340468674,401.96184220667755,0.06953825020855249,0.06835249741123568,0.07076586925097099,0.02398847537317955,0.023630388295870577,0.024357582104602774,0.045667740925190756,0.04486150006554229,0.04650349128429439,0.6944389604491572,0.6755240509578775,0.7133538699404369,0.9988966726156445,0.9864089106374225,1.0113844345938665,0.9216715948765042,0.9043577895645835,0.9389854001884249,0.71546856478621,0.6987773972862759,0.7321597322861442,8.548888444900513
6,19,0.01,0.01,0.1,0.1,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,368.4103047638241,360.22907604790163,376.5915334797466,282.88680567133696,275.4569702882334,290.31664105444054,401.9542459110047,395.20378356192475,408.70470826008466,0.0677060116956233,0.0658718536492751,0.06964523709979287,0.02116857471380808,0.020838128943671434,0.02150966960564972,0.047160896693369404,0.04619241317266274,0.048170860922944085,0.681374510556084,0.6625570612836039,0.7001919598285641,0.9968218681178028,0.9841183107895916,1.009525425446014,0.8787837014066727,0.8598524319381962,0.8977149708751493,0.6529484955252203,0.6404850909825509,0.6654119000678896,8.686473608016968
5,20,0.01,0.01,0.1,0.1,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,378.2945973030973,371.4751192718138,385.1140753343808,277.841833274471,269.52719133178795,286.1564752171541,417.78892176883,407.4753010626251,428.1025424750349,0.06595114840960431,0.06467196407265823,0.06728195731877169,0.017989242176875662,0.017496343657594057,0.018510717134441836,0.048089380518373484,0.047275201513678033,0.048932094730255074,0.649268991319053,0.6354336515755988,0.6631043310625072,0.9999836797725884,0.98747034858761,1.0124970109575668,0.8258532085778167,0.8030357466212218,0.8486706705344117,0.6013514879019929,0.584795808534058,0.6179071672699278,8.991808652877808
8,17,0.01,0.01,0.1,0.1,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,351.706089974618,345.8370958972323,357.5750840520037,303.50000965644324,298.17111767137874,308.82890164150774,379.4995363189882,372.59321027940206,386.4058623585743,0.07121365661845619,0.07014871836690853,0.07231142727951345,0.026413394153089017,0.02598631926832452,0.026854741209163393,0.04486381133738695,0.043983517248291186,0.04578006179477725,0.7166053558286384,0.6999175230700729,0.7332931885872038,0.9939194001634286,0.980926734411456,1.0069120659154014,0.9321343303867283,0.9095317946223808,0.9547368661510759,0.748906001067534,0.7331484800804594,0.7646635220546086,11.446804761886597
10,15,0.01,0.01,0.1,0.1,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,342.7489776320806,333.9932473667592,351.504707897402,324.29596043066044,314.98698918064093,333.60493168067995,356.17338939140313,350.36796699798606,361.9788117848202,0.07348349551392283,0.07231040824238366,0.0746952722870588,0.03052623718972111,0.02966241836996797,0.03144187678999927,0.042182022767596195,0.041475541138379736,0.04291298944986168,0.7293921528210234,0.7154026419234986,0.7433816637185483,0.9710412852444946,0.9517596185087137,0.9903229519802755,0.9705969554083892,0.9490996236848991,0.9920942871318793,0.8286835355660086,0.8055840669265706,0.8517830042054466,10.301493406295776
1,24,0.01,0.01,0.1,0.1,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,430.8125645479595,421.7256133842129,439.89951571170604,265.57576181148596,257.7409932834465,273.4105303395254,443.2239253649145,436.634942823801,449.81290790602804,0.057950879806703444,0.056977520515136305,0.05895807330950706,0.003765403865093048,0.003657503603676803,0.003879863995481177,0.054086610304132705,0.05312562120230338,0.05508300653974785,0.5845981187258659,0.570255758611067,0.5989404788406647,1.0,0.9874855732602297,1.0125144267397703,0.7066204011416256,0.6896461466301824,0.7235946556530688,0.34471459367175533,0.33594291054292186,0.3534862768005888,18.402488470077515
4,21,0.01,0.01,0.1,0.1,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,387.97885714276003,376.9682590727841,398.98945521273595,271.8232625799321,267.7246884903781,275.921836669486,418.9690540090992,410.42433257046025,427.5137754477381,0.06496012080191474,0.06392371805999536,0.06603068403034956,0.01468757442032864,0.014500930833914301,0.014879085287627773,0.05007292678910143,0.04919021413020517,0.05098789868784426,0.6534098473591707,0.638803311619752,0.6680163830985895,0.9998770619109663,0.9873657715219056,1.012388352300027,0.8172333421015852,0.7936160069326456,0.8408506772705248,0.5481732500327361,0.5341766162080562,0.562169883857416,19.32661771774292
